# Total number of events: 24165

             -788400                   0                   0                   0
            -2365200                   1                 102                 102
            -3942000                   1                 456                 456
            -5518800                   1                 793                 793
            -7095600                   1                 905                 905
            -8672400                   1                 867                 867
           -10249200                   1                 820                 820
           -11826000                   1                 814                 814
           -13402800                   1                 797                 797
           -14979600                   1                 770                 770
           -16556400                   1                 752                 752
           -18133200                   1                 698                 698
           -19710000                   1                 696                 696
           -21286800                   1                 653                 653
           -22863600                   1                 647                 647
           -24440400                   1                 628                 628
           -26017200                   1                 566                 566
           -27594000                   1                 547                 547
           -29170800                   1                 511                 511
           -30747600                   1                 540                 540
           -32324400                   1                 457                 457
           -33901200                   1                 415                 415
           -35478000                   1                 453                 453
           -37054800                   1                 422                 422
           -38631600                   1                 413                 413
           -40208400                   1                 369                 369
           -41785200                   1                 332                 332
           -43362000                   1                 376                 376
           -44938800                   1                 300                 300
           -46515600                   1                 341                 341
           -48092400                   1                 290                 290
           -49669200                   1                 307                 307
           -51246000                   1                 311                 311
           -52822800                   1                 244                 244
           -54399600                   1                 251                 251
           -55976400                   1                 249                 249
           -57553200                   1                 232                 232
           -59130000                   1                 248                 248
           -60706800                   1                 173                 173
           -62283600                   1                 174                 174
           -63860400                   1                 180                 180
           -65437200                   1                 170                 170
           -67014000                   1                 183                 183
           -68590800                   1                 155                 155
           -70167600                   1                 172                 172
           -71744400                   1                 127                 127
           -73321200                   1                 133                 133
           -74898000                   1                 135                 135
           -76474800                   1                 128                 128
           -78051600                   1                 142                 142
           -79628400                   1                 122                 122
           -81205200                   1                 123                 123
           -82782000                   1                 125                 125
           -84358800                   1                 113                 113
           -85935600                   1                 139                 139
           -87512400                   1                  75                  75
           -89089200                   1                  90                  90
           -90666000                   1                 110                 110
           -92242800                   1                 102                 102
           -93819600                   1                  65                  65
           -95396400                   1                 102                 102
           -96973200                   1                  75                  75
           -98550000                   1                 102                 102
          -100126800                   1                  65                  65
          -101703600                   1                  75                  75
          -103280400                   1                  72                  72
          -104857200                   1                  79                  79
          -106434000                   1                  83                  83
          -108010800                   1                  88                  88
          -109587600                   1                  60                  60
          -111164400                   1                  67                  67
          -112741200                   1                  74                  74
          -114318000                   1                  67                  67
          -115894800                   1                  69                  69
          -117471600                   1                  79                  79
          -119048400                   1                  73                  73
          -120625200                   1                  68                  68
          -122202000                   1                  65                  65
          -123778800                   1                  77                  77
          -125355600                   1                  76                  76
          -126932400                   1                  67                  67
          -128509200                   1                  68                  68
          -130086000                   1                  79                  79
          -131662800                   1                  58                  58
          -133239600                   1                  52                  52
          -134816400                   1                  67                  67
          -136393200                   1                  53                  53
          -137970000                   1                  60                  60
          -139546800                   1                  61                  61
          -141123600                   1                  45                  45
          -142700400                   1                  63                  63
          -144277200                   1                  65                  65
          -145854000                   1                  60                  60
          -147430800                   1                  39                  39
          -149007600                   1                  50                  50
          -150584400                   1                  57                  57
          -152161200                   1                  51                  51
          -153738000                   1                  46                  46
          -155314800                   1                  42                  42
          -156891600                   1                  58                  58
