# Total number of events: 45113

             -788400                   1                   2                   2
            -2365200                   1                  79                  79
            -3942000                   1                 216                 216
            -5518800                   1                 381                 381
            -7095600                   1                 564                 564
            -8672400                   1                 557                 557
           -10249200                   1                 640                 640
           -11826000                   1                 655                 655
           -13402800                   1                 752                 752
           -14979600                   1                 771                 771
           -16556400                   1                 826                 826
           -18133200                   1                 764                 764
           -19710000                   1                 771                 771
           -21286800                   1                 821                 821
           -22863600                   1                 819                 819
           -24440400                   1                 787                 787
           -26017200                   1                 849                 849
           -27594000                   1                 899                 899
           -29170800                   1                 818                 818
           -30747600                   1                 808                 808
           -32324400                   1                 794                 794
           -33901200                   1                 855                 855
           -35478000                   1                 836                 836
           -37054800                   1                 790                 790
           -38631600                   1                 799                 799
           -40208400                   1                 751                 751
           -41785200                   1                 791                 791
           -43362000                   1                 742                 742
           -44938800                   1                 753                 753
           -46515600                   1                 673                 673
           -48092400                   1                 710                 710
           -49669200                   1                 686                 686
           -51246000                   1                 660                 660
           -52822800                   1                 629                 629
           -54399600                   1                 641                 641
           -55976400                   1                 613                 613
           -57553200                   1                 633                 633
           -59130000                   1                 618                 618
           -60706800                   1                 595                 595
           -62283600                   1                 594                 594
           -63860400                   1                 544                 544
           -65437200                   1                 535                 535
           -67014000                   1                 567                 567
           -68590800                   1                 485                 485
           -70167600                   1                 505                 505
           -71744400                   1                 533                 533
           -73321200                   1                 507                 507
           -74898000                   1                 495                 495
           -76474800                   1                 521                 521
           -78051600                   1                 514                 514
           -79628400                   1                 461                 461
           -81205200                   1                 418                 418
           -82782000                   1                 434                 434
           -84358800                   1                 392                 392
           -85935600                   1                 459                 459
           -87512400                   1                 372                 372
           -89089200                   1                 386                 386
           -90666000                   1                 352                 352
           -92242800                   1                 405                 405
           -93819600                   1                 371                 371
           -95396400                   1                 372                 372
           -96973200                   1                 325                 325
           -98550000                   1                 335                 335
          -100126800                   1                 356                 356
          -101703600                   1                 335                 335
          -103280400                   1                 323                 323
          -104857200                   1                 327                 327
          -106434000                   1                 310                 310
          -108010800                   1                 255                 255
          -109587600                   1                 272                 272
          -111164400                   1                 263                 263
          -112741200                   1                 255                 255
          -114318000                   1                 254                 254
          -115894800                   1                 254                 254
          -117471600                   1                 240                 240
          -119048400                   1                 240                 240
          -120625200                   1                 244                 244
          -122202000                   1                 237                 237
          -123778800                   1                 224                 224
          -125355600                   1                 211                 211
          -126932400                   1                 208                 208
          -128509200                   1                 201                 201
          -130086000                   1                 198                 198
          -131662800                   1                 206                 206
          -133239600                   1                 183                 183
          -134816400                   1                 179                 179
          -136393200                   1                 193                 193
          -137970000                   1                 167                 167
          -139546800                   1                 204                 204
          -141123600                   1                 178                 178
          -142700400                   1                 133                 133
          -144277200                   1                 146                 146
          -145854000                   1                 140                 140
          -147430800                   1                 161                 161
          -149007600                   1                 141                 141
          -150584400                   1                 126                 126
          -152161200                   1                 136                 136
          -153738000                   1                 139                 139
          -155314800                   1                 113                 113
          -156891600                   1                 131                 131
