# Total number of events: 25039

             -788400                   1                 245                 245
            -2365200                   1                1913                1913
            -3942000                   1                2732                2732
            -5518800                   1                2502                2502
            -7095600                   1                2304                2304
            -8672400                   1                2022                2022
           -10249200                   1                1726                1726
           -11826000                   1                1464                1464
           -13402800                   1                1251                1251
           -14979600                   1                1049                1049
           -16556400                   1                 888                 888
           -18133200                   1                 777                 777
           -19710000                   1                 685                 685
           -21286800                   1                 598                 598
           -22863600                   1                 496                 496
           -24440400                   1                 438                 438
           -26017200                   1                 393                 393
           -27594000                   1                 340                 340
           -29170800                   1                 295                 295
           -30747600                   1                 272                 272
           -32324400                   1                 232                 232
           -33901200                   1                 198                 198
           -35478000                   1                 175                 175
           -37054800                   1                 145                 145
           -38631600                   1                 136                 136
           -40208400                   1                 124                 124
           -41785200                   1                 105                 105
           -43362000                   1                  96                  96
           -44938800                   1                  93                  93
           -46515600                   1                 101                 101
           -48092400                   1                 100                 100
           -49669200                   1                  64                  64
           -51246000                   1                  68                  68
           -52822800                   1                  62                  62
           -54399600                   1                  54                  54
           -55976400                   1                  52                  52
           -57553200                   1                  51                  51
           -59130000                   1                  42                  42
           -60706800                   1                  39                  39
           -62283600                   1                  38                  38
           -63860400                   1                  38                  38
           -65437200                   1                  29                  29
           -67014000                   1                  39                  39
           -68590800                   1                  27                  27
           -70167600                   1                  33                  33
           -71744400                   1                  20                  20
           -73321200                   1                  21                  21
           -74898000                   1                  20                  20
           -76474800                   1                  13                  13
           -78051600                   1                  19                  19
           -79628400                   1                  21                  21
           -81205200                   1                  17                  17
           -82782000                   1                  23                  23
           -84358800                   1                  13                  13
           -85935600                   1                  25                  25
           -87512400                   1                   8                   8
           -89089200                   1                   9                   9
           -90666000                   1                  11                  11
           -92242800                   1                  13                  13
           -93819600                   1                   7                   7
           -95396400                   1                  14                  14
           -96973200                   1                  15                  15
           -98550000                   1                  13                  13
          -100126800                   1                   8                   8
          -101703600                   1                  13                  13
          -103280400                   1                  12                  12
          -104857200                   1                  11                  11
          -106434000                   1                   8                   8
          -108010800                   1                   6                   6
          -109587600                   1                   5                   5
          -111164400                   1                   7                   7
          -112741200                   1                   4                   4
          -114318000                   1                   4                   4
          -115894800                   1                   7                   7
          -117471600                   1                   7                   7
          -119048400                   1                   2                   2
          -120625200                   1                   7                   7
          -122202000                   1                   7                   7
          -123778800                   1                   7                   7
          -125355600                   1                   5                   5
          -126932400                   1                  14                  14
          -128509200                   1                   6                   6
          -130086000                   1                   6                   6
          -131662800                   1                   6                   6
          -133239600                   1                   3                   3
          -134816400                   1                   4                   4
          -136393200                   1                   3                   3
          -137970000                   1                   5                   5
          -139546800                   1                   5                   5
          -141123600                   1                   9                   9
          -142700400                   1                   2                   2
          -144277200                   1                   1                   1
          -145854000                   1                   7                   7
          -147430800                   1                   3                   3
          -149007600                   1                   9                   9
          -150584400                   1                   6                   6
          -152161200                   1                   6                   6
          -153738000                   1                   4                   4
          -155314800                   1                   3                   3
          -156891600                   1                   4                   4
